id,gene_id,hypothesis_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated,rationale
PGHE-00073,GEN-0128,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00074,GEN-0129,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00075,GEN-0130,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00076,GEN-0133,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00077,GEN-0134,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00078,GEN-0135,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00079,GEN-0137,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00080,GEN-0138,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00081,GEN-0139,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00082,GEN-0140,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00083,GEN-0141,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00084,GEN-0142,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00085,GEN-0143,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00086,GEN-0144,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00087,GEN-0146,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00088,GEN-0147,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00089,GEN-0148,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00090,GEN-0149,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00091,GEN-0150,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00092,GEN-0151,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00093,GEN-0155,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00094,GEN-0156,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00095,GEN-0157,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00096,GEN-0158,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00097,GEN-0160,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00098,GEN-0161,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
